,X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url,place_id,lat,lng,restaurant,order
0,-76.14775,43.0470760000001,1,The Grazers,Sculpture,317 East Jefferson St,43.047076,-76.14775,Reid IV,Leon,,"Parking  meters, steel, enamel, anchor bolts",2007.0,2007.0,Downtown,Columbus Circle,On sidewalk,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/grazers_leon-reid_2007.jpg,ChIJPX9FlaFTwokRMAStQBSdL74,40.720429,-74.16658199999999,VD Lisboa Royal,The Grazers
1,-76.1795999999999,43.0482920000001,2,Taras H. Shevchenko,Monument,198 South Wilbur Ave,43.048292,-76.1796,Benedict,Dexter,~,,,,Westside,Tipperary Hill,On an island at the intersection of West Fayette Street and Wilbur and Tennyson Avenues,,EiYxOTggUyBXaWxidXIgQXZlLCBTYXlyZSwgUEEgMTg4NDAsIFVTQSIxEi8KFAoSCRdm9kdkCdCJEf9Be13RNx0SEMYBKhQKEgknnzY3bwnQiRGHnFrM6oSofw,41.9815137,-76.5185613,Celebrations Black Diamond Cafe,Syracuse Firsts
2,-76.185513,43.046728,3,Stone Throwers Monument,Monument,Milton Ave & Tompkins Ave,43.046728,-76.185513,Benedict,Dexter,~,,,,Westside,Tipperary Hill,Stone Throwers Park,,EjFUb21wa2lucyBTdCAmIE1pbHRvbiBBdmUsIFN5cmFjdXNlLCBOWSAxMzIwNCwgVVNBImYiZAoUChIJlQa49F3x2YkRV1mEBKa_QNQSFAoSCZUGuPRd8dmJEVdZhASmv0DUGhQKEglDeWiMXfHZiRFoL72Pf_59DhoUChIJd4T-Kufw2YkRJRusPZZB8tgiCg0-YqgZFSQBl9I,43.0465598,-76.1855708,Coleman's Authentic Irish Pub,Cristoforo Colombo Discoverer of America
3,-76.151894,43.0517990000001,4,Clinton Serenade,Mural,126 South Salina Street,43.051799,-76.151894,Goss,Corky,Chip Miller,Acrylic on Stucco,2009.0,2009.0,Downtown,Clinton Square (near),On the side of First Niagra Bank (above the drive thru),https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/moonlight-serenade_goss-and-miller_2009.jpg,EigxMjYgUyBTYWxpbmEgU3QsIFN5cmFjdXNlLCBOWSAxMzIwMiwgVVNBIjASLgoUChIJbyUiq7nz2YkRZJIblF6bNbAQfioUChIJc2bxXGj02YkRclgoPtXhMSc,43.0499754,-76.1523717,PMA Foods,East Onondaga Mural
4,-76.1506459999999,43.045603,5,Onondaga County Korea–Vietnam Veterans Memorial,Monument,232 East Onondaga St,43.045603,-76.150646,Kane,Kevin L.,,Polished red granite and aluminum,,1984.0,Downtown,Columbus Circle,Directly in Front of Plymouth Congregational Church,,ChIJj77smb7z2YkRYz6_5hNik0w,43.0458305,-76.14999449999999,Tall Paul's Hot Dogs,Onondaga County Korea–Vietnam Veterans Memorial
5,-76.162312,43.070187,6,LeMoyne Drinking Fountain,Monument,232 Washington Sq,43.070187,-76.162312,Corbett,Gail Sherman,,Bronze and Granite,,1908.0,Northside,Near Northeast,Washington Square Park,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/lemoyne-drinking-fountain_gail-corbett_1908.jpg,ChIJtS0KOJ3IxokRxAp1OKM5idU,39.94706,-75.1533699,Talula's Garden,Italian-American War Veterans
6,-76.149104,43.0468440000001,7,Cristoforo Colombo Discoverer of America,Monument,259 East Onondaga St,43.046844,-76.149104,Baldi,Lorenzo V.,,"Bronze, Pink Granite, Dark Grey Granite, Stone Cobbles and Cast Stone",,1934.0,Downtown,Columbus Circle,,,ChIJlWaZrr7z2YkRgkricg8u4HQ,43.0468207,-76.1498874,Tang Flavor Chinese Food Square,DecoRated Wall
7,-76.151855,43.056447,8,General Gustavus Sniper ,Monument,426 North Salina St,43.056447,-76.151855,Moynihan,Frederick,,Bronze and Granite,,1905.0,Northside,Little Italy,in Schlosser Park,,Eig0MjYgTiBTYWxpbmEgU3QsIFN5cmFjdXNlLCBOWSAxMzIwMywgVVNBIjESLwoUChIJG0Heh7bz2YkRLvcdJmfUfU8QqgMqFAoSCWUTyHLL89mJEQV1pRJa4ZRj,43.0565029,-76.1518609,SINBUN,Palladium
8,-76.1511389999999,43.0425260000001,9,Rock of the Marne,Monument,760 South Warren St,43.042526,-76.151139,Perry,Roland Hinton,,"Bronze, Pink Granite and Concrete",,1920.0,Southside,Gateway,Billings Park,,ChIJx8JvqP_fM4gR1rnmZsELPo0,41.236087,-80.80790999999999,Brother's Pizza,Untitled Sculpture
9,-76.1510289999999,43.0419610000001,10,Spanish War Memorial,Monument,764 South Warren St,43.041961,-76.151029,Ruggles Kitson,Theodore Alice,,Bronze and Granite,,1924.0,Southside,Southwest,Billings Park,,ChIJ85qwR7NhMYgRDp7QOsxI-LI,41.245162,-80.854891,Parkplace 24 Tavern,Immersive Cloud
10,-76.1533269999999,43.050729,11,Jerry Rescue Monument,Monument,"Clinton Square (between Water, Clinton and Salina Streets downtown)",43.050729,-76.153327,BuMann,Sharon,,Everdure bronze with patina,,1990.0,Downtown,Clinton Square,West end of Clinton Square,,ChIJG2iD2bnz2YkRjSIjHMhV98g,43.0515352,-76.1517966,Prime Steak House,Philip Eckel Memorial
11,-76.147506,43.034322,12,Libba Cotten Grove Memorial,Sculpture,East Castle St and South State St,43.034322,-76.147506,,,,,,1983.0,Southside,Gateway,In the park at the corner of Castle and State Streets,,ChIJKVjAyJHz2YkRf8BQCSzwq04,43.033474,-76.14711600000001,Rouf’s Pizza Wings and Snacks,Fireman's Bell Tower
12,-76.1465009999999,43.0483390000001,13,Philip Eckel Memorial,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048339,-76.146501,Carrick Brothers,,,Westerly Granite and Barre Granite,,1900.0,Downtown,Downtown,Fayette Firefighters Memorial Park,,EjVTIFRvd25zZW5kIFN0ICYgRSBGYXlldHRlIFN0LCBTeXJhY3VzZSwgTlkgMTMyMDIsIFVTQSJmImQKFAoSCd3lBRu789mJEaakVDl8Xl26EhQKEgnd5QUbu_PZiRGmpFQ5fF5duhoUChIJ38a37rzz2YkR_XvACSnZ7KIaFAoSCanqxJYI89mJEWfRzPzNEc43IgoNerKoGRVyGZ3S,43.0486138,-76.14562699999999,Jamaika Flava,Hamilton White Memorial
13,-76.146779,43.0483410000001,14,Fireman's Bell Tower,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048341,-76.146779,,,"Foundry of Bronze Bell: Menely, Troy, NY",Steel; Bronze,,1979.0,Downtown,Downtown,Fayette Firefighters Memorial Park,,EjVTIFRvd25zZW5kIFN0ICYgRSBGYXlldHRlIFN0LCBTeXJhY3VzZSwgTlkgMTMyMDIsIFVTQSJmImQKFAoSCd3lBRu789mJEaakVDl8Xl26EhQKEgnd5QUbu_PZiRGmpFQ5fF5duhoUChIJ38a37rzz2YkR_XvACSnZ7KIaFAoSCanqxJYI89mJEWfRzPzNEc43IgoNerKoGRVyGZ3S,43.0486138,-76.14562699999999,Jamaika Flava,"Collins Block Memorial - ""Firemen's Memorial"""
14,-76.1471299999999,43.04835,15,Hamilton White Memorial,Monument,"East Genesee St, East Fayette St, and South Townsend St",43.04835,-76.14713,Corbett,Gail Sherman,,Bronze; Pink Granite Base,1900.0,1905.0,Downtown,Downtown,Fayette Firefighters Memorial Park,,EjVTIFRvd25zZW5kIFN0ICYgRSBGYXlldHRlIFN0LCBTeXJhY3VzZSwgTlkgMTMyMDIsIFVTQSJmImQKFAoSCd3lBRu789mJEaakVDl8Xl26EhQKEgnd5QUbu_PZiRGmpFQ5fF5duhoUChIJ38a37rzz2YkR_XvACSnZ7KIaFAoSCanqxJYI89mJEWfRzPzNEc43IgoNerKoGRVyGZ3S,43.0486138,-76.14562699999999,Jamaika Flava,Mighty Salt City
15,-76.1471299999999,43.0483320000001,16,"Collins Block Memorial - ""Firemen's Memorial""",Monument,"East Genesee St, East Fayette St, and South Townsend St",43.048332,-76.14713,Cowie,William,,Granite ,,1939.0,Downtown,Downtown,Fayette Firefighters Memorial Park,,EjVTIFRvd25zZW5kIFN0ICYgRSBGYXlldHRlIFN0LCBTeXJhY3VzZSwgTlkgMTMyMDIsIFVTQSJmImQKFAoSCd3lBRu789mJEaakVDl8Xl26EhQKEgnd5QUbu_PZiRGmpFQ5fF5duhoUChIJ38a37rzz2YkR_XvACSnZ7KIaFAoSCanqxJYI89mJEWfRzPzNEc43IgoNerKoGRVyGZ3S,43.0486138,-76.14562699999999,Jamaika Flava,This Must Be The Place
16,-76.141848,43.0471830000001,17,Redfield Monument ,Sculpture,Forman Park,43.047183,-76.141848,Landi,Fidardo,,Bronze sculpture,,1908.0,Eastside,Eastside,Forman Park; west edge of park at Almond St,,ChIJCVBr9GfUw4kRbZOTA8pAyMk,40.2603887,-74.27542389999999,YB Eatery,Burrow Boy
17,-76.15683,43.0570960000001,18,Benjamin Franklin Statue,Monument,Franklin Square Park,43.057096,-76.15683,Benedict,,,Polished Granite Veneer; Bronze and Brick Pavers,,1989.0,Lakefront,Franklin Square,East Side of Franklin Square,,ChIJ1U-L54DIxokRcoW6JtzjcDM,39.95566339999999,-75.1504502,Franklin Square Beer Garden,Tectonic Sculpture 01 (The Hand)
18,-76.152937,43.051094,19,Soldiers and Sailors Monument,Sculpture,"Clinton Square (between Water, Clinton and Salina Streets downtown)",43.051094,-76.152937,Dallin,Cyrus,~,Bronze and Connecticut White Granite,1909.0,1910.0,Downtown,Clinton Square,North side of Clinton Square,,ChIJG2iD2bnz2YkRjSIjHMhV98g,43.0515352,-76.1517966,Prime Steak House,O1101
19,-76.1416159999999,43.069573,20,Goethe and Schiller,Monument,Highland St and Butternut St,43.069573,-76.141616,Friederich,Ernest,August Rietschel,Bronze; Polished Gray Granite,,1911.0,Northside,Northside,Skylar Park,,ChIJTXHffk3y2YkRaTpHISjZ690,43.062943,-76.14387599999999,Wings Over Syracuse,S.ALT City
20,-76.150671,43.045599,21,Italian-American War Veterans,Monument,North Salina St and Danforth St,43.045599,-76.150671,Pederson,Thorvald,~,"Indiana Limestone, Brick, Recessed wood panels, Glass panel covers and Bronze ",,1946.0,Northside,Northside,In the middle of Bennett Park,,EjJOIFNhbGluYSBTdCAmIERhbmZvcnRoIFN0LCBTeXJhY3VzZSwgTlkgMTMyMDgsIFVTQSJmImQKFAoSCfWObso18tmJEQLroFeRlAINEhQKEgn1jm7KNfLZiREC66BXkZQCDRoUChIJZRPIcsvz2YkRBXWlElrhlGMaFAoSCTWo6tU38tmJER8NVsH2Lh7UIgoNfVurGRUOPJvS,43.0660477,-76.1578482,Fast foods,Whales Tale
21,-76.1624929,43.0412303000001,22,Four Seasons,Mosaic,229 Shonnard Street,43.0412303,-76.1624929,Zook,Eva,"Mark Topp, Megan Connor and students",,2000.0,2001.0,Westside,Near Westside,East end of Ward Bakery Park,,ChIJNQoyc-nz2YkRMu9xQ0v4ZHY,43.0412303,-76.1623022,Cooperativa Las Comadres,Jerry Rescue Monument
22,-76.12441,43.0427330000001,23,Park History,Mural,Thornden Park Dr and Greenwood Pl,43.042733,-76.12441,Topp,Mark,Thornden Park Association,Painted on Cement,,2005.0,Eastside,Westcott,Thornden Park Public Pool,,EjhUaG9ybmRlbiBQYXJrIERyICYgR3JlZW53b29kIFBsLCBTeXJhY3VzZSwgTlkgMTMyMTAsIFVTQSJmImQKFAoSCSGWlUgM89mJERTjlc7DoskLEhQKEgkhlpVIDPPZiREU45XOw6LJCxoUChIJ3VV_gAvz2YkRUe41saOcjbAaFAoSCallVRcN89mJEe1kOinwZy4QIgoNsMWnGRVSaKDS,43.042552,-76.123947,Saint Urban Wine Bar,Soldiers and Sailors Monument
23,-76.1501009999999,43.04967,24,Tectonic Sculpture 01 (The Hand),Sculpture,City Hall Commons,43.04967,-76.150101,Rose,Brendan,,"Concrete, steel, wood",2008.0,2008.0,Downtown,Downtown,East side of City Hall Commons,https://www.syr.gov/files/sharedassets/public/1-boards-and-commissions/spac/public-art-images/tectonic-sculpture-01_roste_2008.jpg,ChIJIW_8euuRy4kR_oj0iF2TfHI,40.5173262,-78.4021563,DKR Fast Mart LLC,Clinton Serenade
24,-76.150608,43.0485190000001,25,O1101,Sculpture,Lemp Park,43.048519,-76.150608,Taskale,Tash,,Steel,2009.0,2009.0,Downtown,Downtown,Corner of W. Fayette & S. Warren Streets,,ChIJiZn3arnz2YkRIUPNq1vLW78,43.04855140000001,-76.1506663,Soup R Salads,"One, Two, Three"
25,-76.162281,43.041182,26,Rising,Sculpture,Finnegan Park,43.041182,-76.162281,Earle,Dennis,,"Steel, concrete ",201.0,2011.0,Northside,Hawley-Green,"Lodi & Hawley, southern tip of park",,ChIJry0GnRHExokRm0fEkPSfrXQ,39.9153251,-75.23233789999999,Massay international grill,Spirit of Light
26,-76.187373,43.0525890000001,27,Westside Geomatic,Sculpture,Hazard Branch Library,43.052589,-76.187373,Smith,James  Earle,,"Steel, aluminum, fiberglass, limeston",2010.0,2010.0,Westside,Westside,Plaza in front of library,,ChIJUb_utWXx2YkRGMX9dem1g3M,43.0527753,-76.1874093,Brooklyn Pickle West,Erie Canal Themed Poster
27,-76.11844,43.0408870000001,28,Peace by Piece ,Mural,105 Victoria Place (Petit Library),43.040887,-76.11844,Cofer,Annette,Mary Lynn Mahan,Ceramic,2010.0,2011.0,Eastside,Westcott,East-facing wall of Petit Branch Library,,ChIJ57VG9BLz2YkR3o2ovjyqQ2E,43.040914,-76.1186216,Recess Coffee,Let Us Continue
28,-76.16935,43.0464690000001,29,Tectonic Sculpture 03 (Walt: The Lock Ness Monster),Sculpture,W. Fayette St at Onondaga Creek,43.046469,-76.16935,Rose,Brendan,,"Concrete, steel, wood",2011.0,2011.0,Downtown,Armory Square,Onondaga Creekwalk,,EjpXIEZheWV0dGUgU3QgJiBPbm9uZGFnYSBDcmVla3dhbGssIFN5cmFjdXNlLCBOWSAxMzIwMiwgVVNBImYiZAoUChIJL9-JOcfz2YkRYTIIxvDUzHESFAoSCS_fiTnH89mJEWEyCMbw1MxxGhQKEgnT_9h02_PZiRHFtM74gq8VRxoUChIJdQIYzM7z2YkRPDWdArRTyEciCg1Zt6gZFZ1cm9I,43.0487385,-76.15701469999999,Decir Algo,Current
29,-76.1524237,43.0011259,30,Honoring the Onondaga Creek,Sculpture,Meachum Field Park,43.0011259,-76.1524237,Michel,Peter,,Aluminum,2011.0,2011.0,Valley,Valley,"Northwest corner of Meachum Field Park, W. Seneca Turnpike at Onondaga Creek",,ChIJ8Y3aeUP02YkR3Q42PawCGZw,42.99918359999999,-76.1447677,Subway,Welcome Downtown
30,-76.117522,43.0575830000001,31,Cycle,Sculpture,"Henninger High School, 600 Robinson Street",43.057583,-76.117522,Roth,Jason,,Steel and ceramic,2011.0,2011.0,Eastwood,Eastwood,West side of campus ,,ChIJeQYZEeLy2YkRR3zwAzuR-PY,43.0577607,-76.1188171,Shifty's Bar & Grill,You've Made It
31,-76.147903,43.0011400000001,32,Community as Family,Sculpture,"Beauchamp Branch Library, 2111 S Salina Street",43.00114,-76.147903,Michel,Peter,,Aluminum,2010.0,2010.0,Southside,Southside,West of main entrance to library; in front lawn area,,ChIJRbEJ8ojz2YkRw28WEH1x93M,43.0259622,-76.1450043,Ze Mart,24 Second Clock
32,-76.141262,43.047149,33,SyraViews Stereoscopes,Sculpture,Forman Park,43.047149,-76.141262,Woolpert,Colleen,,Steel,2012.0,2012.0,Eastside,East Genesee,Westside of fountain circle in Forman Park,,ChIJCVBr9GfUw4kRbZOTA8pAyMk,40.2603887,-74.27542389999999,YB Eatery,Always Advance
33,-76.1344789999999,43.0457060000001,34,Bells of Surrender,Sculpture,412 University Avenue ,43.045706,-76.134479,Rose,Brendan,,Steel and Concrete,2012.0,2012.0,Eastside,University,412 University Avenue in front of Grace Church's memorial garden,,ChIJBag_ToaB0IkRsIlFLfue8N0,42.4481115,-76.4931163,Cook House Dining Room,And Still We Rise
34,-76.1570399999999,43.048911,35,Let Us Continue,Mural,Onondaga Creek Walk,43.048911,-76.15704,Fletchall,Quinton,Nathan Li,Acrylic boards,2014.0,2014.0,Downtown,"Armory Square, Creek Walk",East facing wall between the SU Warehouse and Marriott Hotel garage,,ChIJvYcVwAr02YkRysa4CDR0sk8,43.0224983,-76.155249,Swallow's,Tectonic Sculpture 03 (Walt: The Lock Ness Monster)
35,-76.1571479999999,43.048891,36,Current,Sculpture,Onondaga Creek Walk,43.048891,-76.157148,Hancock,Blessing,,Stainless steel,2016.0,2017.0,Downtown,Armory Square,Onondaga Creek between Warehouse and Marriott Hotel Parking garage,,ChIJvYcVwAr02YkRysa4CDR0sk8,43.0224983,-76.155249,Swallow's,"1022 W, Fayette St Mural"
36,-76.149032,43.0446260000001,37,DecoRated Wall,Mural,235 Harrison Street,43.044626,-76.149032,Meyer,Mike,,Auto paint on steel panels,2017.0,2017.0,Downtown,Downtown,AXA Parking Garage curved wall facing Montgomery St,,ChIJyx9nZL7z2YkR_2bwFtk1Ctk,43.04479329999999,-76.1500958,Panini's,Bicylce Capital of the World
37,-76.14676,43.0479320000001,38,Mighty Salt City,Mural,420 E. Genesee Street,43.047932,-76.14676,Valenzuela,Cayetano,,Acrylic,2016.0,2016.0,Downtown,Downtown,West façade of 420 E. Genesee St,,ChIJF53kn7vz2YkRStRmpwfdJ9g,43.0478979,-76.14653559999999,City Hall Cafe,Taras H. Shevchenko
38,-76.147016,43.053341,39,Rose of No Man's Land,Mural,457 James Street,43.053341,-76.147016,Roe ,Paul,Elliott Mattice,Acrylic,2016.0,2016.0,Downtown,Downtown,East façade of 457 James Street,,ChIJlV6n-rDz2YkRagBY-NLG6J8,43.05332629999999,-76.1470792,OIP-Original Italian Pizza,Stone Throwers Monument
39,-76.145404,43.047782,40,Immersive Cloud,Sculpture,500 E. Genesee Street,43.047782,-76.145404,Park,Daekwon ,,Galvanized and stainless steel,2017.0,2017.0,Downtown,Downtown,SE Corner of Townsend and E. Genesee Street,,ChIJFSLn5TiM2YkRgIIgi_BmGh8,43.0318361,-76.0137227,Kyoko's Japanese Restaurant,Westside Geomatic
40,-76.1418889999999,43.0468710000001,41,Syracuse Writers,Sculpture,700 block E. Genesee Street,43.046871,-76.141889,Sisko,Joseph,,Aluminum panels,2019.0,,Eastside,Eastside,"Along city-owned fence, south side of E. Genesee St across from Forman Park",,ChIJX6_XmqTz2YkRKu_-SD2DPdE,43.046573,-76.141454,Redfield's Restaurant,Eva's Mural
41,-76.15703,43.0491850000001,42,Erie Canal Themed Poster,Mural,346 W. Fayette Street,43.049185,-76.15703,Grant,Alexandra,Shari Hemsley (poet),4x6 laminated Omegabond panel,,,Downtown,Downtown,Creekwalk between W. Washington and W. Fayette streets,,EiozNDYgVyBGYXlldHRlIFN0LCBCYWx0aW1vcmUsIE1EIDIxMjAxLCBVU0EiMRIvChQKEglj9jZaoATIiRHtG2z7LO880hDaAioUChIJhYo9kVUDyIkRacV1USWTr-8,39.2905543,-76.62074969999999,Super Fried Chicken,Salmon Run Mosaic
42,-76.1393879999999,43.047086,43,Inventive Spirit,Sculpture,800 block E Geness St,43.047086,-76.139388,Ferro,Tino,,Steel ,2021.0,2022.0,Eastside ,Eastside,,,,,,,Onondaga Creekwalk Poster
43,-76.157268,43.055394,44,Onondaga Creekwalk Poster,Mural,Creekwalk (Franklin Square),43.055394,-76.157268,Thomas,Cecily,Jeffrey Corney (poet),4x6 laminated Omegabond panel,2022.0,2022.0,Franklin Square,Franklin Square,on concrete sidewall of ramp leading up to Franklin Square from Creekwalk,,ChIJZcnE2Njz2YkRPj5pKAiyWRg,43.0551804,-76.1552347,PressRoom Pub,Benjamin Franklin Statue
44,-76.138537,43.0657380000001,45,Project C-Inspiration Through Art,Mural,Schiller Park Community Center ,43.065738,-76.138537,Walker ,Ally ,,,2022.0,2022.0,Northside,Northside,3 sides of the center,,ChIJK_tjMK2IOIgRWliU1Iui6_4,39.9414853,-82.99154999999999,The Thurman Cafe,Lets Fly Syracuse
45,-76.147329,43.0461780000001,46,Palladium,Monument,555 South State St,43.046178,-76.147329,Lunt,Mary Lou,~,,,2002.0,Downtown,Municipal District,In front of the Onondaga County Justice Center,,ChIJGz8lZbzz2YkRSM6m5PL0CcQ,43.046307,-76.14710939999999,City Hall Cafe,General Gustavus Sniper 
46,-76.155051,43.0499,47,"One, Two, Three",Sculpture,100 South Clinton St,43.0499,-76.155051,Lewitt,Sol,~,Painted Aluminum,,1979.0,Downtown,Downtown,James M. Hanley US Courthouse and Federal Building,,ChIJDTAgkrjz2YkR42eogNmMyTA,43.0502271,-76.1540562,Frank's Franks Mobile Hotdog Stand,Rose of No Man's Land
47,-76.123888,43.047337,48,Jerry Rescue Mural,Mural,1641 E Genesee St,43.047337,-76.123888,~,,Community Members assisted,,,,Eastside,Near Eastside,"On Richmark Building, opposite corner from Logan Park",,ChIJ-RvUbA_z2YkRQ_HWk5cgR5U,43.0474626,-76.12397229999999,Burger King,Waiting for the Night Train
48,-76.165307,43.0268550000001,49,Mountain Goat Monument,Sculpture,Onondaga Park,43.026855,-76.165307,BuMann,Sharon,,Bronze & Stone,2015.0,2017.0,Southside,Strathmore,Little Round Top,,ChIJB3-Hx_fz2YkRFFpP-j7h5Wk,43.0285453,-76.16271320000001,Tanya's Spanish Restaurant,Be Yourself/Umbrellove
