,X,Y,FID,Title,Type,Address,Latitude,Longitude,Artist_Last_,Artist_First,Additional_Artists,Media,Year_Created,Year_Erected,TNT_Area,Neighborhood,Specific_Location,Image_Url,Daily_Visitors,Price_Level
29,-76.1524237,43.0011259,30,Honoring the Onondaga Creek,Sculpture,Meachum Field Park,43.0011259,-76.1524237,Michel,Peter,,Aluminum,2011.0,2011.0,Valley,Valley,"Northwest corner of Meachum Field Park, W. Seneca Turnpike at Onondaga Creek",,122,
30,-76.117522,43.0575830000001,31,Cycle,Sculpture,"Henninger High School, 600 Robinson Street",43.057583,-76.117522,Roth,Jason,,Steel and ceramic,2011.0,2011.0,Eastwood,Eastwood,West side of campus ,,33,
31,-76.147903,43.0011400000001,32,Community as Family,Sculpture,"Beauchamp Branch Library, 2111 S Salina Street",43.00114,-76.147903,Michel,Peter,,Aluminum,2010.0,2010.0,Southside,Southside,West of main entrance to library; in front lawn area,,13,
32,-76.141262,43.047149,33,SyraViews Stereoscopes,Sculpture,Forman Park,43.047149,-76.141262,Woolpert,Colleen,,Steel,2012.0,2012.0,Eastside,East Genesee,Westside of fountain circle in Forman Park,,480,
33,-76.1344789999999,43.0457060000001,34,Bells of Surrender,Sculpture,412 University Avenue ,43.045706,-76.134479,Rose,Brendan,,Steel and Concrete,2012.0,2012.0,Eastside,University,412 University Avenue in front of Grace Church's memorial garden,,0,
34,-76.1570399999999,43.048911,35,Let Us Continue,Mural,Onondaga Creek Walk,43.048911,-76.15704,Fletchall,Quinton,Nathan Li,Acrylic boards,2014.0,2014.0,Downtown,"Armory Square, Creek Walk",East facing wall between the SU Warehouse and Marriott Hotel garage,,0,
35,-76.1571479999999,43.048891,36,Current,Sculpture,Onondaga Creek Walk,43.048891,-76.157148,Hancock,Blessing,,Stainless steel,2016.0,2017.0,Downtown,Armory Square,Onondaga Creek between Warehouse and Marriott Hotel Parking garage,,0,
36,-76.149032,43.0446260000001,37,DecoRated Wall,Mural,235 Harrison Street,43.044626,-76.149032,Meyer,Mike,,Auto paint on steel panels,2017.0,2017.0,Downtown,Downtown,AXA Parking Garage curved wall facing Montgomery St,,0,
37,-76.14676,43.0479320000001,38,Mighty Salt City,Mural,420 E. Genesee Street,43.047932,-76.14676,Valenzuela,Cayetano,,Acrylic,2016.0,2016.0,Downtown,Downtown,West façade of 420 E. Genesee St,,0,
38,-76.147016,43.053341,39,Rose of No Man's Land,Mural,457 James Street,43.053341,-76.147016,Roe ,Paul,Elliott Mattice,Acrylic,2016.0,2016.0,Downtown,Downtown,East façade of 457 James Street,,0,
39,-76.145404,43.047782,40,Immersive Cloud,Sculpture,500 E. Genesee Street,43.047782,-76.145404,Park,Daekwon ,,Galvanized and stainless steel,2017.0,2017.0,Downtown,Downtown,SE Corner of Townsend and E. Genesee Street,,0,
40,-76.1418889999999,43.0468710000001,41,Syracuse Writers,Sculpture,700 block E. Genesee Street,43.046871,-76.141889,Sisko,Joseph,,Aluminum panels,2019.0,,Eastside,Eastside,"Along city-owned fence, south side of E. Genesee St across from Forman Park",,0,
41,-76.15703,43.0491850000001,42,Erie Canal Themed Poster,Mural,346 W. Fayette Street,43.049185,-76.15703,Grant,Alexandra,Shari Hemsley (poet),4x6 laminated Omegabond panel,,,Downtown,Downtown,Creekwalk between W. Washington and W. Fayette streets,,0,
42,-76.1393879999999,43.047086,43,Inventive Spirit,Sculpture,800 block E Geness St,43.047086,-76.139388,Ferro,Tino,,Steel ,2021.0,2022.0,Eastside ,Eastside,,,0,
43,-76.157268,43.055394,44,Onondaga Creekwalk Poster,Mural,Creekwalk (Franklin Square),43.055394,-76.157268,Thomas,Cecily,Jeffrey Corney (poet),4x6 laminated Omegabond panel,2022.0,2022.0,Franklin Square,Franklin Square,on concrete sidewall of ramp leading up to Franklin Square from Creekwalk,,1,
44,-76.138537,43.0657380000001,45,Project C-Inspiration Through Art,Mural,Schiller Park Community Center ,43.065738,-76.138537,Walker ,Ally ,,,2022.0,2022.0,Northside,Northside,3 sides of the center,,39,
45,-76.147329,43.0461780000001,46,Palladium,Monument,555 South State St,43.046178,-76.147329,Lunt,Mary Lou,~,,,2002.0,Downtown,Municipal District,In front of the Onondaga County Justice Center,,0,
46,-76.155051,43.0499,47,"One, Two, Three",Sculpture,100 South Clinton St,43.0499,-76.155051,Lewitt,Sol,~,Painted Aluminum,,1979.0,Downtown,Downtown,James M. Hanley US Courthouse and Federal Building,,0,
47,-76.123888,43.047337,48,Jerry Rescue Mural,Mural,1641 E Genesee St,43.047337,-76.123888,~,,Community Members assisted,,,,Eastside,Near Eastside,"On Richmark Building, opposite corner from Logan Park",,0,
48,-76.165307,43.0268550000001,49,Mountain Goat Monument,Sculpture,Onondaga Park,43.026855,-76.165307,BuMann,Sharon,,Bronze & Stone,2015.0,2017.0,Southside,Strathmore,Little Round Top,,240,
49,-76.149301,43.0462900000001,50,East Onondaga Mural,Mural,262 East Onondaga St,43.04629,-76.149301,Matlow,Andy,Syracuse Art Squad,,,,Downtown,Columbus Circle,South of Columbus Circle on east facing wall of the Cathedral Parish Center,,0,
50,-76.1560919999999,43.051069,51,Spirit of Light,Sculpture,300 Erie Blvd West,43.051069,-76.156092,King,Marvin L.,Bley & Lyman Architectural Firm,Stainless Steel,1932.0,1932.0,Downtown,Downtown,,,0,
51,-76.145877,43.0476160000001,52,Untitled Sculpture,Sculpture,444 East Genesee St,43.047616,-76.145877,Calcagnino,Steven,~,Concrete,,1975.0,Downtown,Municipal District,On the McCarthy Avenue side of the building at 444 East Genesee Street,,0,
52,-76.1412129999999,43.0518940000001,53,Waiting for the Night Train,Sculpture,400 Burnet Ave,43.051894,-76.141213,Epolito,Duke,Larry Zankowski,"Plaster, Polyurethane, Fiberglass",,1982.0,Eastside,Near Eastside,"Old railroad tracks off Erie Blvd, where Time Warner Cable, News 10 Now is located ",,0,
53,-76.1490009999999,43.0510120000001,54,Burrow Boy,Monument,301-31 Erie Blvd East,43.051012,-76.149001,Tischler,Tom,,Onondaga Limestone and Bronze,,1987.0,Downtown,Hanover Square,Across from the Erie Canal Museum,,0,
54,-76.119466,43.040378,55,Community Mural,Mural,South Beech St and Westcott St,43.040378,-76.119466,Moody,Michael,,Paint on Cement,,1997.0,Eastside,Westcott,At corner of Beech and Westcott Streets,,0,
55,-76.119129,43.0416050000001,56,Boom Babies,Mural,Westcott St and Harvard Pl,43.041605,-76.119129,,,,Paint on Cement,,,Eastside,Westcott,,,0,
56,-76.118779,43.0413780000001,57,Mom's Diner Mosaic,Mosaic,110 Harvard Pl,43.041378,-76.118779,,,,"Glass, Cement, Paint",,,Eastside,Westcott,Backside of Mom's Diner,,0,
57,-76.1512089999999,43.048499,58,S.ALT City,Mural,300 S. Warren Street,43.048499,-76.151209,Snyder,Brett,,Acrylic,2011.0,2012.0,Downtown,Downtown,West side of Lemp Jewelers Building,,0,
58,-76.154257,43.061094,59,Lock Alley Mural,Mural,741 N Salina Street,43.061094,-76.154257,Echo,,,Acrylic,2014.0,2014.0,Northside,North Salina Street,Northwest facing wall at the rear of the building facing a parking lot,,0,
59,-76.119923,43.041619,60,Reach,Mural,508-510 Westcott Street,43.041619,-76.119923,Echo,,,Acrylic,2015.0,2015.0,Eastside,Westcott,East facing wall in interior courtyard,,0,
60,-76.156179,43.0484970000001,61,You've Made It,Mural,321  W Fayette Street,43.048497,-76.156179,Bocksel,Jon,,Acrylic,2016.0,2016.0,Downtown,Armory Square,West and east facing walls of 321 W Fayette St,,0,
61,-76.158146,43.048973,62,Always Advance,Mural,350 W. Fayette Street,43.048973,-76.158146,Luke,Josh,Meredith Kasabian,Acrylic,2017.0,2017.0,Downtown,Armory Square,West façade of 350 W. Fayette Street,,0,
62,-76.1612269999999,43.056433,63,Salmon Run Mosaic,Mural,Onondaga Creek Walk,43.056433,-76.161227,Hirsch,Jillian,,Ceramic tiles,2017.0,2017.0,Lakefront,Lakefront,Pedestrian bridge sidewall at 507 Plum Street ,,0,
63,-76.1714509999999,43.0451170000001,64,Bicylce Capital of the World,Mural,214 S. Geddes Street,43.045117,-76.171451,Roberts,Jacob,,Acrylic,2018.0,2018.0,Westside,Westside,South façade of building,,0,
64,-76.170632,43.046069,65,"1022 W, Fayette St Mural",Mural,1022 W. Fayette Street,43.046069,-76.170632,Stetz,Eugene,,Acrylic,2018.0,2018.0,Westside,Westside,East façade of building,,0,
65,-76.1410279999999,43.048774,66,Be Yourself/Umbrellove,Mural,713 E. Fayette Street,43.048774,-76.141028,Walker ,Ally ,,Acrylic,2019.0,2020.0,Eastside,Eastside,East and west facades of building,,0,
66,-76.14212,43.0719810000001,67,Diversity Lives Heree,Mural,1415 Highland Street,43.071981,-76.14212,various,,,Acrylic,2019.0,2020.0,Northside,Northside,West façade of building,,0,
67,-76.1190339999999,43.041191,68,Middle Eastern Dreams,Mural,501-507 Westcott Street,43.041191,-76.119034,Odeh,Nada,,Acrylic,2020.0,2020.0,Eastside,Eastside,South façade of building,,0,
68,-76.1523979999999,43.0586660000001,69,Lets Fly Syracuse,Mural ,547-53 N Salina St,43.058666,-76.152398,Colello,Jacqueline,,latex paints,2021.0,2021.0,Northside,Northside,northside of property,,0,
69,-76.15657,43.0485150000001,70,Welcome Downtown,Mural,327 W. Fayette St,43.048515,-76.15657,Walker ,Ally ,,latex paints,2021.0,2021.0,Downtown,,,,0,
70,-76.1997709999999,43.059561,71,Eva's Mural,Mural,1305 Milton St,43.059561,-76.199771,Colello,Jacqueline,,latex paints,2022.0,2022.0,Westside,Westside,East wall of property,,952,
71,-76.1621239999999,43.0478230000001,72,And Still We Rise,Mural,509 W Fayette St,43.047823,-76.162124,Valenzuela,Cayetano,,paint,2022.0,2022.0,Westside,Westside,West façade of building,,0,
72,-76.120329,43.0493690000001,73,Three Seas for Syracuse,Mural,1732 Erie Blvd E,43.049369,-76.120329,Burgevin,Daniel,,latex paints,,2022.0,Eastside,Eastside,West façade of the building,,0,
73,-76.146012,43.0497250000001,74,This Must Be The Place,Mural,441 E. Washington Street,43.049725,-76.146012,Thomas,Cecily,,,2022.0,2022.0,Downtown,Downtown,West facing wall,,0,
74,-76.1526909999999,43.0448650000001,75,Salt City Market Mural,Mural,480 S. Salina Street,43.044865,-76.152691,Linsner,Audra,,,2022.0,2022.0,Downtown,Downtown,,,0,
75,-76.112995,43.0681280000001,76,We are the Village within the City,Mural,2384 James Street,43.068128,-76.112995,Bingham,Daniel,,,2022.0,2022.0,Eastwood,Eastwood,east wall of Palace Theater,,0,
76,-76.150402,43.0393790000001,77,Southside Mural Project,Mural,Taylor Street Bridge St over S. Salina St,43.039379,-76.150402,Ladd,London,,Acrylic,2017.0,2017.0,Southside,Southisde,"Bridge underpass walls, both sides of S. Salina St",,408,
77,-76.1485309999999,43.0476170000001,78,Syracuse Firsts,Mural,333 E Onondaga St,43.047617,-76.148531,Never,Jonas,,spray paint on cement block,,,Downtown,Downtown,East façade of Monroe Building,,0,
78,-76.155383,43.0477760000001,79,24 Second Clock,Sculpture,290 West Jefferson St,43.047776,-76.155383,,,,,,2005.0,Downtown,Armory Square,Corner of S. Franklin & W. Jefferson,,0,
79,-76.1525569999999,43.0493500000001,80,Whales Tale,Sculpture,200-14 S Salina St,43.04935,-76.152557,Nelson,Miriam,,Painted Aluminum,2003.0,2021.0,Downtown,Downtown,Perseverance Park,,0,
